2014-12-30 10:57:34 startup archives install
2014-12-30 10:57:34 install base-passwd:i386 <none> 3.5.33
2014-12-30 10:57:34 status half-installed base-passwd:i386 3.5.33
2014-12-30 10:57:34 status unpacked base-passwd:i386 3.5.33
2014-12-30 10:57:34 status unpacked base-passwd:i386 3.5.33
2014-12-30 10:57:34 configure base-passwd:i386 3.5.33 3.5.33
2014-12-30 10:57:34 status unpacked base-passwd:i386 3.5.33
2014-12-30 10:57:34 status half-configured base-passwd:i386 3.5.33
2014-12-30 10:57:34 status installed base-passwd:i386 3.5.33
2014-12-30 10:57:34 startup archives install
2014-12-30 10:57:34 install base-files:i386 <none> 7.2ubuntu5
2014-12-30 10:57:34 status half-installed base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 configure base-files:i386 7.2ubuntu5 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status unpacked base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status half-configured base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 status installed base-files:i386 7.2ubuntu5
2014-12-30 10:57:34 startup archives install
2014-12-30 10:57:34 upgrade dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2014-12-30 10:57:34 status half-configured dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status unpacked dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status half-installed dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status half-installed dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status unpacked dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status unpacked dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2014-12-30 10:57:34 status unpacked dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status unpacked dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status unpacked dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status unpacked dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status unpacked dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status half-configured dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 status installed dpkg 1.17.5ubuntu5
2014-12-30 10:57:34 startup archives install
2014-12-30 10:57:34 install libc6:i386 <none> 2.19-0ubuntu6
2014-12-30 10:57:34 status half-installed libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:35 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:35 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:35 configure libc6:i386 2.19-0ubuntu6 2.19-0ubuntu6
2014-12-30 10:57:35 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:35 status unpacked libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:35 status half-configured libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:35 status installed libc6:i386 2.19-0ubuntu6
2014-12-30 10:57:35 startup archives install
2014-12-30 10:57:35 install perl-base:i386 <none> 5.18.2-2ubuntu1
2014-12-30 10:57:35 status half-installed perl-base:i386 5.18.2-2ubuntu1
2014-12-30 10:57:35 status unpacked perl-base:i386 5.18.2-2ubuntu1
2014-12-30 10:57:35 status unpacked perl-base:i386 5.18.2-2ubuntu1
2014-12-30 10:57:35 configure perl-base:i386 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2014-12-30 10:57:35 status unpacked perl-base:i386 5.18.2-2ubuntu1
2014-12-30 10:57:35 status half-configured perl-base:i386 5.18.2-2ubuntu1
2014-12-30 10:57:35 status installed perl-base:i386 5.18.2-2ubuntu1
2014-12-30 10:57:35 startup archives install
2014-12-30 10:57:35 install mawk:i386 <none> 1.3.3-17ubuntu2
2014-12-30 10:57:35 status half-installed mawk:i386 1.3.3-17ubuntu2
2014-12-30 10:57:35 status unpacked mawk:i386 1.3.3-17ubuntu2
2014-12-30 10:57:35 status unpacked mawk:i386 1.3.3-17ubuntu2
2014-12-30 10:57:35 configure mawk:i386 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2014-12-30 10:57:35 status unpacked mawk:i386 1.3.3-17ubuntu2
2014-12-30 10:57:35 status half-configured mawk:i386 1.3.3-17ubuntu2
2014-12-30 10:57:35 status installed mawk:i386 1.3.3-17ubuntu2
2014-12-30 10:57:35 startup archives install
2014-12-30 10:57:35 install debconf:all <none> 1.5.51ubuntu2
2014-12-30 10:57:35 status half-installed debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 configure debconf:all 1.5.51ubuntu2 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status unpacked debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status half-configured debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 status installed debconf:all 1.5.51ubuntu2
2014-12-30 10:57:35 startup archives unpack
2014-12-30 10:57:35 install adduser:all <none> 3.113+nmu3ubuntu3
2014-12-30 10:57:35 status half-installed adduser:all 3.113+nmu3ubuntu3
