/usr/share/fonts: skipping, existing cache is valid: 0 fonts, 5 dirs
/usr/share/fonts/X11: skipping, existing cache is valid: 0 fonts, 4 dirs
/usr/share/fonts/X11/Type1: skipping, existing cache is valid: 9 fonts, 0 dirs
/usr/share/fonts/X11/encodings: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/X11/encodings/large: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/X11/misc: skipping, existing cache is valid: 59 fonts, 0 dirs
/usr/share/fonts/X11/util: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/adobe-source-han-sans: skipping, existing cache is valid: 7 fonts, 0 dirs
/usr/share/fonts/cmap: skipping, existing cache is valid: 0 fonts, 5 dirs
/usr/share/fonts/cmap/adobe-cns1: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap/adobe-gb1: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap/adobe-japan1: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap/adobe-japan2: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap/adobe-korea1: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/truetype: skipping, existing cache is valid: 0 fonts, 35 dirs
/usr/share/fonts/truetype/aboriginal: skipping, existing cache is valid: 8 fonts, 0 dirs
/usr/share/fonts/truetype/abyssinica: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/dejavu: skipping, existing cache is valid: 6 fonts, 0 dirs
/usr/share/fonts/truetype/droid: skipping, existing cache is valid: 18 fonts, 0 dirs
/usr/share/fonts/truetype/ezra: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/farsiweb: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/fonts-arabeyes: skipping, existing cache is valid: 36 fonts, 0 dirs
/usr/share/fonts/truetype/fonts-gujr-extra: skipping, existing cache is valid: 5 fonts, 0 dirs
/usr/share/fonts/truetype/fonts-nafees: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/fonts-ukij-uyghur: skipping, existing cache is valid: 90 fonts, 0 dirs
/usr/share/fonts/truetype/freefont: skipping, existing cache is valid: 12 fonts, 0 dirs
/usr/share/fonts/truetype/kacst: skipping, existing cache is valid: 15 fonts, 0 dirs
/usr/share/fonts/truetype/lao: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/manchufont: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/mgopen: skipping, existing cache is valid: 16 fonts, 0 dirs
/usr/share/fonts/truetype/nanum: skipping, existing cache is valid: 8 fonts, 0 dirs
/usr/share/fonts/truetype/padauk: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/scheherazade: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/sinhala: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/takao-gothic: skipping, existing cache is valid: 3 fonts, 0 dirs
/usr/share/fonts/truetype/takao-mincho: skipping, existing cache is valid: 3 fonts, 0 dirs
/usr/share/fonts/truetype/tibetan-machine: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/tlwg: skipping, existing cache is valid: 54 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-bengali-fonts: skipping, existing cache is valid: 5 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-devanagari-fonts: skipping, existing cache is valid: 13 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-kannada-fonts: skipping, existing cache is valid: 5 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-khmeros: skipping, existing cache is valid: 10 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-khmeros-core: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-malayalam-fonts: skipping, existing cache is valid: 7 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-oriya-fonts: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-punjabi-fonts: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-tamil-fonts: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-telugu-fonts: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/ubuntu-font-family: skipping, existing cache is valid: 13 fonts, 0 dirs
/usr/share/fonts/truetype/unfonts-core: skipping, existing cache is valid: 12 fonts, 0 dirs
/usr/share/fonts/type1: skipping, existing cache is valid: 0 fonts, 2 dirs
/usr/share/fonts/type1/gsfonts: skipping, existing cache is valid: 35 fonts, 0 dirs
/usr/share/fonts/type1/mathml: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/local/share/fonts: skipping, existing cache is valid: 0 fonts, 0 dirs
/.local/share/fonts: skipping, no such directory
/usr/share/fonts: caching, new cache contents: 0 fonts, 5 dirs
/usr/local/share/fonts: caching, new cache contents: 0 fonts, 0 dirs
/.local/share/fonts: skipping, no such directory
/var/cache/fontconfig: cleaning cache directory
/.cache/fontconfig: not cleaning non-existent cache directory
fc-cache: succeeded
